date,state,deaths+AF8-new,deaths+AF8-unvax,deaths+AF8-pvax,deaths+AF8-fvax,deaths+AF8-boost
2020+AC0-03+AC0-31,Sabah,0,0,0,0,0
2020+AC0-03+AC0-31,Sarawak,1,1,0,0,0
2020+AC0-03+AC0-31,Selangor,1,1,0,0,0
2020+AC0-03+AC0-31,Terengganu,0,0,0,0,0
2020+AC0-03+AC0-31,W.P. Kuala Lumpur,2,2,0,0,0
2020+AC0-03+AC0-31,W.P. Labuan,0,0,0,0,0
2020+AC0-03+AC0-31,W.P. Putrajaya,0,0,0,0,0
2020+AC0-04+AC0-01,Johor,0,0,0,0,0
2020+AC0-04+AC0-01,Kedah,0,0,0,0,0
2020+AC0-04+AC0-01,Kelantan,0,0,0,0,0
2020+AC0-04+AC0-01,Melaka,0,0,0,0,0
2020+AC0-04+AC0-01,Negeri Sembilan,0,0,0,0,0
2020+AC0-04+AC0-01,Pahang,0,0,0,0,0
2020+AC0-04+AC0-01,Perak,0,0,0,0,0
2020+AC0-04+AC0-01,Perlis,0,0,0,0,0
2020+AC0-04+AC0-01,Pulau Pinang,0,0,0,0,0
2020+AC0-04+AC0-01,Sabah,0,0,0,0,0
2020+AC0-04+AC0-01,Sarawak,1,1,0,0,0
2020+AC0-04+AC0-01,Selangor,1,1,0,0,0
2020+AC0-04+AC0-01,Terengganu,0,0,0,0,0
2020+AC0-04+AC0-01,W.P. Kuala Lumpur,0,0,0,0,0
2020+AC0-04+AC0-01,W.P. Labuan,0,0,0,0,0
2020+AC0-04+AC0-01,W.P. Putrajaya,0,0,0,0,0
2020+AC0-04+AC0-02,Johor,1,1,0,0,0
2020+AC0-04+AC0-02,Kedah,0,0,0,0,0
2020+AC0-04+AC0-02,Kelantan,0,0,0,0,0
2020+AC0-04+AC0-02,Melaka,0,0,0,0,0
2020+AC0-04+AC0-02,Negeri Sembilan,1,1,0,0,0
2020+AC0-04+AC0-02,Pahang,0,0,0,0,0
2020+AC0-04+AC0-02,Perak,0,0,0,0,0
2020+AC0-04+AC0-02,Perlis,0,0,0,0,0
2020+AC0-04+AC0-02,Pulau Pinang,0,0,0,0,0
2020+AC0-04+AC0-02,Sabah,0,0,0,0,0
2020+AC0-04+AC0-02,Sarawak,0,0,0,0,0
2020+AC0-04+AC0-02,Selangor,0,0,0,0,0
2020+AC0-04+AC0-02,Terengganu,0,0,0,0,0
2020+AC0-04+AC0-02,W.P. Kuala Lumpur,0,0,0,0,0
2020+AC0-04+AC0-02,W.P. Labuan,0,0,0,0,0
2020+AC0-04+AC0-02,W.P. Putrajaya,0,0,0,0,0
2020+AC0-04+AC0-03,Johor,0,0,0,0,0
2020+AC0-04+AC0-03,Kedah,0,0,0,0,0
2020+AC0-04+AC0-03,Kelantan,1,1,0,0,0
2020+AC0-04+AC0-03,Melaka,0,0,0,0,0
2020+AC0-04+AC0-03,Negeri Sembilan,1,1,0,0,0
2020+AC0-04+AC0-03,Pahang,1,1,0,0,0
2020+AC0-04+AC0-03,Perak,1,1,0,0,0
2020+AC0-04+AC0-03,Perlis,0,0,0,0,0
2020+AC0-04+AC0-03,Pulau Pinang,0,0,0,0,0
2020+AC0-04+AC0-03,Sabah,0,0,0,0,0
2020+AC0-04+AC0-03,Sarawak,1,1,0,0,0
2020+AC0-04+AC0-03,Selangor,0,0,0,0,0
2020+AC0-04+AC0-03,Terengganu,0,0,0,0,0
2020+AC0-04+AC0-03,W.P. Kuala Lumpur,0,0,0,0,0
2020+AC0-04+AC0-03,W.P. Labuan,0,0,0,0,0
2020+AC0-04+AC0-03,W.P. Putrajaya,0,0,0,0,0
2020+AC0-04+AC0-04,Johor,0,0,0,0,0
2020+AC0-04+AC0-04,Kedah,0,0,0,0,0
2020+AC0-04+AC0-04,Kelantan,0,0,0,0,0
2020+AC0-04+AC0-04,Melaka,0,0,0,0,0
2020+AC0-04+AC0-04,Negeri Sembilan,0,0,0,0,0
2020+AC0-04+AC0-04,Pahang,0,0,0,0,0
2020+AC0-04+AC0-04,Perak,0,0,0,0,0
2020+AC0-04+AC0-04,Perlis,0,0,0,0,0
2020+AC0-04+AC0-04,Pulau Pinang,0,0,0,0,0
2020+AC0-04+AC0-04,Sabah,1,1,0,0,0
2020+AC0-04+AC0-04,Sarawak,1,1,0,0,0
2020+AC0-04+AC0-04,Selangor,0,0,0,0,0
2020+AC0-04+AC0-04,Terengganu,0,0,0,0,0
2020+AC0-04+AC0-04,W.P. Kuala Lumpur,1,1,0,0,0
2020+AC0-04+AC0-04,W.P. Labuan,0,0,0,0,0
2020+AC0-04+AC0-04,W.P. Putrajaya,0,0,0,0,0
2020+AC0-04+AC0-05,Johor,0,0,0,0,0
2020+AC0-04+AC0-05,Kedah,0,0,0,0,0
2020+AC0-04+AC0-05,Kelantan,0,0,0,0,0
2020+AC0-04+AC0-05,Melaka,0,0,0,0,0
2020+AC0-04+AC0-05,Negeri Sembilan,0,0,0,0,0
2020+AC0-04+AC0-05,Pahang,0,0,0,0,0
2020+AC0-04+AC0-05,Perak,0,0,0,0,0
2020+AC0-04+AC0-05,Perlis,0,0,0,0,0
2020+AC0-04+AC0-05,Pulau Pinang,0,0,0,0,0
2020+AC0-04+AC0-05,Sabah,0,0,0,0,0
2020+AC0-04+AC0-05,Sarawak,1,1,0,0,0
2020+AC0-04+AC0-05,Selangor,0,0,0,0,0
2020+AC0-04+AC0-05,Terengganu,1,1,0,0,0
2020+AC0-04+AC0-05,W.P. Kuala Lumpur,0,0,0,0,0
2020+AC0-04+AC0-05,W.P. Labuan,0,0,0,0,0
2020+AC0-04+AC0-05,W.P. Putrajaya,0,0,0,0,0
2020+AC0-04+AC0-06,Johor,0,0,0,0,0
2020+AC0-04+AC0-06,Kedah,0,0,0,0,0
2020+AC0-04+AC0-06,Kelantan,0,0,0,0,0
2020+AC0-04+AC0-06,Melaka,0,0,0,0,0
2020+AC0-04+AC0-06,Negeri Sembilan,0,0,0,0,0
2020+AC0-04+AC0-06,Pahang,0,0,0,0,0
2020+AC0-04+AC0-06,Perak,0,0,0,0,0
2020+AC0-04+AC0-06,Perlis,1,1,0,0,0
2020+AC0-04+AC0-06,Pulau Pinang,0,0,0,0,0
2020+AC0-04+AC0-06,Sabah,1,1,0,0,0
2020+AC0-04+AC0-06,Sarawak,0,0,0,0,0
2020+AC0-04+AC0-06,Selangor,0,0,0,0,0
2020+AC0-04+AC0-06,Terengganu,0,0,0,0,0
2020+AC0-04+AC0-06,W.P. Kuala Lumpur,0,0,0,0,0
2020+AC0-04+AC0-06,W.P. Labuan,0,0,0,0,0
2020+AC0-04+AC0-06,W.P. Putrajaya,0,0,0,0,0
2020+AC0-04+AC0-07,Johor,0,0,0,0,0
2020+AC0-04+AC0-07,Kedah,0,0,0,0,0
2020+AC0-04+AC0-07,Kelantan,0,0,0,0,0
2020+AC0-04+AC0-07,Melaka,0,0,0,0,0
2020+AC0-04+AC0-07,Negeri Sembilan,1,1,0,0,0
2020+AC0-04+AC0-07,Pahang,0,0,0,0,0
2020+AC0-04+AC0-07,Perak,0,0,0,0,0
2020+AC0-04+AC0-07,Perlis,0,0,0,0,0
2020+AC0-04+AC0-07,Pulau Pinang,0,0,0,0,0
2020+AC0-04+AC0-07,Sabah,0,0,0,0,0
2020+AC0-04+AC0-07,Sarawak,0,0,0,0,0
2020+AC0-04+AC0-07,Selangor,0,0,0,0,0
2020+AC0-04+AC0-07,Terengganu,0,0,0,0,0
2020+AC0-04+AC0-07,W.P. Kuala Lumpur,0,0,0,0,0
2020+AC0-04+AC0-07,W.P. Labuan,0,0,0,0,0
2020+AC0-04+AC0-07,W.P. Putrajaya,0,0,0,0,0
2020+AC0-04+AC0-08,Johor,0,0,0,0,0
2020+AC0-04+AC0-08,Kedah,0,0,0,0,0
2020+AC0-04+AC0-08,Kelantan,0,0,0,0,0
2020+AC0-04+AC0-08,Melaka,0,0,0,0,0
2020+AC0-04+AC0-08,Negeri Sembilan,0,0,0,0,0
2020+AC0-04+AC0-08,Pahang,0,0,0,0,0
2020+AC0-04+AC0-08,Perak,0,0,0,0,0
2020+AC0-04+AC0-08,Perlis,0,0,0,0,0
2020+AC0-04+AC0-08,Pulau Pinang,0,0,0,0,0
2020+AC0-04+AC0-08,Sabah,0,0,0,0,0
2020+AC0-04+AC0-08,Sarawak,0,0,0,0,0
2020+AC0-04+AC0-08,Selangor,0,0,0,0,0
2020+AC0-04+AC0-08,Terengganu,0,0,0,0,0
2020+AC0-04+AC0-08,W.P. Kuala Lumpur,1,1,0,0,0
2020+AC0-04+AC0-08,W.P. Labuan,0,0,0,0,0
2020+AC0-04+AC0-08,W.P. Putrajaya,0,0,0,0,0
2020+AC0-04+AC0-09,Johor,0,0,0,0,0
2020+AC0-04+AC0-09,Kedah,0,0,0,0,0
2020+AC0-04+AC0-09,Kelantan,0,0,0,0,0
2020+AC0-04+AC0-09,Melaka,1,1,0,0,0
2020+AC0-04+AC0-09,Negeri Sembilan,0,0,0,0,0
2020+AC0-04+AC0-09,Pahang,0,0,0,0,0
2020+AC0-04+AC0-09,Perak,0,0,0,0,0
2020+AC0-04+AC0-09,Perlis,0,0,0,0,0
2020+AC0-04+AC0-09,Pulau Pinang,0,0,0,0,0
2020+AC0-04+AC0-09,Sabah,0,0,0,0,0
2020+AC0-04+AC0-09,Sarawak,1,1,0,0,0
2020+AC0-04+AC0-09,Selangor,0,0,0,0,0
2020+AC0-04+AC0-09,Terengganu,0,0,0,0,0
2020+AC0-04+AC0-09,W.P. Kuala Lumpur,0,0,0,0,0
2020+AC0-04+AC0-09,W.P. Labuan,0,0,0,0,0
2020+AC0-04+AC0-09,W.P. Putrajaya,0,0,0,0,0
2020+AC0-04+AC0-10,Johor,0,0,0,0,0
2020+AC0-04+AC0-10,Kedah,0,0,0,0,0
2020+AC0-04+AC0-10,Kelantan,0,0,0,0,0
2020+AC0-04+AC0-10,Melaka,0,0,0,0,0
2020+AC0-04+AC0-10,Negeri Sembilan,0,0,0,0,0
2020+AC0-04+AC0-10,Pahang,0,0,0,0,0
2020+AC0-04+AC0-10,Perak,0,0,0,0,0
2020+AC0-04+AC0-10,Perlis,0,0,0,0,0
2020+AC0-04+AC0-10,Pulau Pinang,0,0,0,0,0
2020+AC0-04+AC0-10,Sabah,1,1,0,0,0
2020+AC0-04+AC0-10,Sarawak,0,0,0,0,0
2020+AC0-04+AC0-10,Selangor,2,2,0,0,0
2020+AC0-04+AC0-10,Terengganu,0,0,0,0,0
2020+AC0-04+AC0-10,W.P. Kuala Lumpur,0,0,0,0,0
2020+AC0-04+AC0-10,W.P. Labuan,0,0,0,0,0
2020+AC0-04+AC0-10,W.P. Putrajaya,0,0,0,0,0
2020+AC0-04+AC0-11,Johor,0,0,0,0,0
2020+AC0-04+AC0-11,Kedah,0,0,0,0,0
2020+AC0-04+AC0-11,Kelantan,0,0,0,0,0
2020+AC0-04+AC0-11,Melaka,0,0,0,0,0
2020+AC0-04+AC0-11,Negeri Sembilan,1,1,0,0,0
2020+AC0-04+AC0-11,Pahang,0,0,0,0,0
2020+AC0-04+AC0-11,Perak,1,1,0,0,0
2020+AC0-04+AC0-11,Perlis,0,0,0,0,0
2020+AC0-04+AC0-11,Pulau Pinang,0,0,0,0,0
2020+AC0-04+AC0-11,Sabah,0,0,0,0,0
2020+AC0-04+AC0-11,Sarawak,0,0,0,0,0
2020+AC0-04+AC0-11,Selangor,0,0,0,0,0
2020+AC0-04+AC0-11,Terengganu,0,0,0,0,0
2020+AC0-04+AC0-11,W.P. Kuala Lumpur,1,1,0,0,0
2020+AC0-04+AC0-11,W.P. Labuan,0,0,0,0,0
2020+AC0-04+AC0-11,W.P. Putrajaya,0,0,0,0,0
2020+AC0-04+AC0-12,Johor,0,0,0,0,0
2020+AC0-04+AC0-12,Kedah,0,0,0,0,0
2020+AC0-04+AC0-12,Kelantan,0,0,0,0,0
2020+AC0-04+AC0-12,Melaka,0,0,0,0,0
2020+AC0-04+AC0-12,Negeri Sembilan,1,1,0,0,0
2020+AC0-04+AC0-12,Pahang,0,0,0,0,0
2020+AC0-04+AC0-12,Perak,1,1,0,0,0
2020+AC0-04+AC0-12,Perlis,0,0,0,0,0
2020+AC0-04+AC0-12,Pulau Pinang,0,0,0,0,0
2020+AC0-04+AC0-12,Sabah,0,0,0,0,0
2020+AC0-04+AC0-12,Sarawak,1,1,0,0,0
2020+AC0-04+AC0-12,Selangor,0,0,0,0,0
2020+AC0-04+AC0-12,Terengganu,0,0,0,0,0
2020+AC0-04+AC0-12,W.P. Kuala Lumpur,2,2,0,0,0
2020+AC0-04+AC0-12,W.P. Labuan,0,0,0,0,0
2020+AC0-04+AC0-12,W.P. Putrajaya,0,0,0,0,0
2020+AC0-04+AC0-13,Johor,0,0,0,0,0
2020+AC0-04+AC0-13,Kedah,0,0,0,0,0
