date,state,variable,value
2021-03-17,Terengganu,Pfizer,2
2021-03-17,W.P. Kuala Lumpur,Pfizer,1843
2021-03-17,W.P. Labuan,Pfizer,0
2021-03-17,W.P. Putrajaya,Pfizer,229
2021-03-18,Johor,Pfizer,1431
2021-03-18,Kedah,Pfizer,459
2021-03-18,Kelantan,Pfizer,715
2021-03-18,Melaka,Pfizer,619
2021-03-18,Negeri Sembilan,Pfizer,1040
2021-03-18,Pahang,Pfizer,1029
2021-03-18,Perak,Pfizer,3094
2021-03-18,Perlis,Pfizer,724
2021-03-18,Pulau Pinang,Pfizer,1455
2021-03-18,Sabah,Pfizer,2023
2021-03-18,Sarawak,Pfizer,98
2021-03-18,Selangor,Pfizer,3657
2021-03-18,Terengganu,Pfizer,0
2021-03-18,W.P. Kuala Lumpur,Pfizer,1689
2021-03-18,W.P. Labuan,Pfizer,2
2021-03-18,W.P. Putrajaya,Pfizer,62
2021-03-19,Johor,Pfizer,18
2021-03-19,Kedah,Pfizer,306
2021-03-19,Kelantan,Pfizer,0
2021-03-19,Melaka,Pfizer,333
2021-03-19,Negeri Sembilan,Pfizer,275
2021-03-19,Pahang,Pfizer,2172
2021-03-19,Perak,Pfizer,2252
2021-03-19,Perlis,Pfizer,160
2021-03-19,Pulau Pinang,Pfizer,1851
2021-03-19,Sabah,Pfizer,997
2021-03-19,Sarawak,Pfizer,1697
2021-03-19,Selangor,Pfizer,3149
2021-03-19,Terengganu,Pfizer,6
2021-03-19,W.P. Kuala Lumpur,Pfizer,1340
2021-03-19,W.P. Labuan,Pfizer,0
2021-03-19,W.P. Putrajaya,Pfizer,19
2021-03-20,Johor,Pfizer,731
2021-03-20,Kedah,Pfizer,7
2021-03-20,Kelantan,Pfizer,360
2021-03-20,Melaka,Pfizer,0
2021-03-20,Negeri Sembilan,Pfizer,0
2021-03-20,Pahang,Pfizer,3118
2021-03-20,Perak,Pfizer,1320
2021-03-20,Perlis,Pfizer,2
2021-03-20,Pulau Pinang,Pfizer,1886
2021-03-20,Sabah,Pfizer,1404
2021-03-20,Sarawak,Pfizer,4294
2021-03-20,Selangor,Pfizer,560
2021-03-20,Terengganu,Pfizer,1
2021-03-20,W.P. Kuala Lumpur,Pfizer,0
2021-03-20,W.P. Labuan,Pfizer,127
2021-03-20,W.P. Putrajaya,Pfizer,0
2021-03-21,Johor,Pfizer,1407
2021-03-21,Kedah,Pfizer,720
2021-03-21,Kelantan,Pfizer,510
2021-03-21,Melaka,Pfizer,0
2021-03-21,Negeri Sembilan,Pfizer,0
2021-03-21,Pahang,Pfizer,3009
2021-03-21,Perak,Pfizer,672
2021-03-21,Perlis,Pfizer,1
2021-03-21,Pulau Pinang,Pfizer,1440
2021-03-21,Sabah,Pfizer,345
2021-03-21,Sarawak,Pfizer,4417
2021-03-21,Selangor,Pfizer,600
2021-03-21,Terengganu,Pfizer,2088
2021-03-21,W.P. Kuala Lumpur,Pfizer,2
2021-03-21,W.P. Labuan,Pfizer,344
2021-03-21,W.P. Putrajaya,Pfizer,0
2021-03-22,Johor,Pfizer,2773
2021-03-22,Kedah,Pfizer,1198
2021-03-22,Kelantan,Pfizer,2082
2021-03-22,Melaka,Pfizer,191
2021-03-22,Negeri Sembilan,Pfizer,1135
2021-03-22,Pahang,Pfizer,1065
2021-03-22,Perak,Pfizer,1906
2021-03-22,Perlis,Pfizer,352
2021-03-22,Pulau Pinang,Pfizer,1650
2021-03-22,Sabah,Pfizer,971
2021-03-22,Sarawak,Pfizer,2463
2021-03-22,Selangor,Pfizer,2848
2021-03-22,Terengganu,Pfizer,1728
2021-03-22,W.P. Kuala Lumpur,Pfizer,3049
2021-03-22,W.P. Labuan,Pfizer,444
2021-03-22,W.P. Putrajaya,Pfizer,438
2021-03-23,Johor,Pfizer,1254
2021-03-23,Kedah,Pfizer,1251
2021-03-23,Kelantan,Pfizer,2788
2021-03-23,Melaka,Pfizer,1231
2021-03-23,Negeri Sembilan,Pfizer,3029
2021-03-23,Pahang,Pfizer,2181
2021-03-23,Perak,Pfizer,3374
2021-03-23,Perlis,Pfizer,534
2021-03-23,Pulau Pinang,Pfizer,1833
2021-03-23,Sabah,Pfizer,653
2021-03-23,Sarawak,Pfizer,829
2021-03-23,Selangor,Pfizer,3757
2021-03-23,Terengganu,Pfizer,2583
2021-03-23,W.P. Kuala Lumpur,Pfizer,3028
2021-03-23,W.P. Labuan,Pfizer,372
2021-03-23,W.P. Putrajaya,Pfizer,478
2021-03-24,Johor,Pfizer,3085
2021-03-24,Kedah,Pfizer,1346
2021-03-24,Kelantan,Pfizer,3304
2021-03-24,Melaka,Pfizer,1320
2021-03-24,Negeri Sembilan,Pfizer,2536
2021-03-24,Pahang,Pfizer,1377
2021-03-24,Perak,Pfizer,1946
2021-03-24,Perlis,Pfizer,532
2021-03-24,Pulau Pinang,Pfizer,1845
2021-03-24,Sabah,Pfizer,568
2021-03-24,Sarawak,Pfizer,622
2021-03-24,Selangor,Pfizer,3879
2021-03-24,Terengganu,Pfizer,2568
2021-03-24,W.P. Kuala Lumpur,Pfizer,3404
2021-03-24,W.P. Labuan,Pfizer,293
2021-03-24,W.P. Putrajaya,Pfizer,488
2021-03-25,Johor,Pfizer,3243
2021-03-25,Kedah,Pfizer,543
2021-03-25,Kelantan,Pfizer,2855
2021-03-25,Melaka,Pfizer,1154
2021-03-25,Negeri Sembilan,Pfizer,2017
2021-03-25,Pahang,Pfizer,1558
2021-03-25,Perak,Pfizer,977
2021-03-25,Perlis,Pfizer,295
2021-03-25,Pulau Pinang,Pfizer,1653
2021-03-25,Sabah,Pfizer,1782
2021-03-25,Sarawak,Pfizer,522
2021-03-25,Selangor,Pfizer,3807
2021-03-25,Terengganu,Pfizer,498
2021-03-25,W.P. Kuala Lumpur,Pfizer,4078
2021-03-25,W.P. Labuan,Pfizer,193
2021-03-25,W.P. Putrajaya,Pfizer,542
2021-03-26,Johor,Pfizer,935
2021-03-26,Kedah,Pfizer,156
2021-03-26,Kelantan,Pfizer,705
2021-03-26,Melaka,Pfizer,712
2021-03-26,Negeri Sembilan,Pfizer,1061
2021-03-26,Pahang,Pfizer,993
2021-03-26,Perak,Pfizer,1261
2021-03-26,Perlis,Pfizer,310
2021-03-26,Pulau Pinang,Pfizer,1073
2021-03-26,Sabah,Pfizer,2437
2021-03-26,Sarawak,Pfizer,1312
2021-03-26,Selangor,Pfizer,3369
2021-03-26,Terengganu,Pfizer,0
2021-03-26,W.P. Kuala Lumpur,Pfizer,1683
2021-03-26,W.P. Labuan,Pfizer,170
2021-03-26,W.P. Putrajaya,Pfizer,354
2021-03-27,Johor,Pfizer,1160
2021-03-27,Kedah,Pfizer,98
2021-03-27,Kelantan,Pfizer,0
2021-03-27,Melaka,Pfizer,305
2021-03-27,Negeri Sembilan,Pfizer,0
2021-03-27,Pahang,Pfizer,3098
2021-03-27,Perak,Pfizer,709
2021-03-27,Perlis,Pfizer,0
2021-03-27,Pulau Pinang,Pfizer,119
2021-03-27,Sabah,Pfizer,3759
2021-03-27,Sarawak,Pfizer,3442
2021-03-27,Selangor,Pfizer,2890
2021-03-27,Terengganu,Pfizer,0
2021-03-27,W.P. Kuala Lumpur,Pfizer,0
2021-03-27,W.P. Labuan,Pfizer,84
2021-03-27,W.P. Putrajaya,Pfizer,1
2021-03-28,Johor,Pfizer,2499
2021-03-28,Kedah,Pfizer,850
2021-03-28,Kelantan,Pfizer,499
2021-03-28,Melaka,Pfizer,306
2021-03-28,Negeri Sembilan,Pfizer,0
2021-03-28,Pahang,Pfizer,804
2021-03-28,Perak,Pfizer,13
2021-03-28,Perlis,Pfizer,0
2021-03-28,Pulau Pinang,Pfizer,113
2021-03-28,Sabah,Pfizer,2727
2021-03-28,Sarawak,Pfizer,5001
2021-03-28,Selangor,Pfizer,283
2021-03-28,Terengganu,Pfizer,3149
2021-03-28,W.P. Kuala Lumpur,Pfizer,0
2021-03-28,W.P. Labuan,Pfizer,83
2021-03-28,W.P. Putrajaya,Pfizer,0
2021-03-29,Johor,Pfizer,3394
2021-03-29,Kedah,Pfizer,2814
2021-03-29,Kelantan,Pfizer,1972
2021-03-29,Melaka,Pfizer,122
2021-03-29,Negeri Sembilan,Pfizer,1257
2021-03-29,Pahang,Pfizer,1140
2021-03-29,Perak,Pfizer,2102
2021-03-29,Perlis,Pfizer,818
2021-03-29,Pulau Pinang,Pfizer,1149
2021-03-29,Sabah,Pfizer,3532
2021-03-29,Sarawak,Pfizer,4200
2021-03-29,Selangor,Pfizer,3590
2021-03-29,Terengganu,Pfizer,3063
2021-03-29,W.P. Kuala Lumpur,Pfizer,4094
2021-03-29,W.P. Labuan,Pfizer,32
2021-03-29,W.P. Putrajaya,Pfizer,404
2021-03-30,Johor,Pfizer,2980
2021-03-30,Kedah,Pfizer,2405
2021-03-30,Kelantan,Pfizer,1736
2021-03-30,Melaka,Pfizer,1242
2021-03-30,Negeri Sembilan,Pfizer,2831
2021-03-30,Pahang,Pfizer,1121
2021-03-30,Perak,Pfizer,2749
2021-03-30,Perlis,Pfizer,1074
2021-03-30,Pulau Pinang,Pfizer,1483
2021-03-30,Sabah,Pfizer,3388
2021-03-30,Sarawak,Pfizer,4900
2021-03-30,Selangor,Pfizer,4476
2021-03-30,Terengganu,Pfizer,2936
